epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4107.14,1.49174,1.33714,0.00649,0.71923,0.58924,0.68073,0.38536,1.42022,1.21931,0.00731,0.000900844,0.000900844,0.000900844
43,4199.52,1.49858,1.34886,0.00633,0.70277,0.5994,0.67771,0.38354,1.39949,1.19008,0.00703,0.000896127,0.000896127,0.000896127
44,4291.05,1.5038,1.3191,0.00626,0.67439,0.62042,0.67148,0.37219,1.47544,1.20247,0.00761,0.000891313,0.000891313,0.000891313
45,4388.21,1.50482,1.3194,0.00622,0.66671,0.63195,0.67751,0.38905,1.41643,1.17754,0.00749,0.000886404,0.000886404,0.000886404
46,4487.85,1.49487,1.30187,0.00638,0.6869,0.62282,0.68029,0.38663,1.42045,1.17365,0.0074,0.000881401,0.000881401,0.000881401
47,4580.27,1.49916,1.29295,0.00621,0.68681,0.60982,0.68105,0.39208,1.4012,1.19241,0.00707,0.000876305,0.000876305,0.000876305
48,4672.12,1.48287,1.30338,0.00623,0.67901,0.62342,0.67225,0.38496,1.41445,1.19568,0.00719,0.000871117,0.000871117,0.000871117
49,4763.72,1.49976,1.3037,0.00628,0.67366,0.61742,0.67744,0.38104,1.41999,1.20175,0.0074,0.000865839,0.000865839,0.000865839
50,4855.62,1.5083,1.31273,0.00649,0.66096,0.62641,0.67335,0.37404,1.44621,1.20282,0.00748,0.000860473,0.000860473,0.000860473
51,4946.84,1.48161,1.31072,0.00619,0.67378,0.62643,0.6823,0.3891,1.39635,1.18805,0.00696,0.000855018,0.000855018,0.000855018
52,5038.41,1.4705,1.30194,0.00616,0.66934,0.64192,0.68052,0.38167,1.4028,1.18542,0.00695,0.000849477,0.000849477,0.000849477
53,5129.96,1.47603,1.28364,0.00622,0.67904,0.62402,0.67708,0.38711,1.39435,1.19196,0.00704,0.000843851,0.000843851,0.000843851
54,5221.43,1.47077,1.27481,0.0062,0.69172,0.62943,0.6888,0.39478,1.42997,1.14749,0.00693,0.000838141,0.000838141,0.000838141
55,5313.33,1.465,1.30425,0.00605,0.69845,0.61982,0.68101,0.38998,1.4127,1.17411,0.00708,0.000832349,0.000832349,0.000832349
56,5404.75,1.46785,1.28143,0.00601,0.68508,0.63183,0.68942,0.39735,1.37732,1.15373,0.00677,0.000826477,0.000826477,0.000826477
57,5496.68,1.44288,1.26317,0.00583,0.70366,0.62102,0.68484,0.397,1.36477,1.18708,0.00646,0.000820525,0.000820525,0.000820525
58,5588.27,1.47511,1.28987,0.00592,0.70542,0.61381,0.69082,0.3947,1.3931,1.15309,0.00672,0.000814495,0.000814495,0.000814495
59,5679.49,1.46735,1.27044,0.00611,0.69567,0.63003,0.69519,0.39783,1.38339,1.14073,0.0067,0.000808389,0.000808389,0.000808389
60,5771.74,1.45721,1.25024,0.00579,0.68807,0.64625,0.69482,0.40336,1.37011,1.13441,0.00643,0.000802208,0.000802208,0.000802208
