epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
179,48275.3,1.24092,0.96922,0.00428,0.81019,0.76096,0.84867,0.55682,1.18455,0.80858,0.005,3.9264e-05,3.9264e-05,3.9264e-05
180,48376.6,1.24617,0.96946,0.00441,0.82397,0.75676,0.85066,0.55656,1.18587,0.80669,0.00501,3.66877e-05,3.66877e-05,3.66877e-05
181,48468.8,1.24997,0.95852,0.0042,0.80978,0.76156,0.85123,0.55852,1.18303,0.80716,0.00501,3.4227e-05,3.4227e-05,3.4227e-05
182,48560.6,1.23709,0.95505,0.00421,0.81428,0.76036,0.85227,0.55894,1.18398,0.80398,0.00501,3.18825e-05,3.18825e-05,3.18825e-05
183,48659.7,1.25099,0.96985,0.00429,0.80358,0.76577,0.85095,0.56011,1.18063,0.80549,0.00498,2.96546e-05,2.96546e-05,2.96546e-05
184,48751.3,1.25633,0.96629,0.00433,0.82064,0.75796,0.85265,0.56012,1.18285,0.80451,0.00498,2.75441e-05,2.75441e-05,2.75441e-05
185,48850.2,1.25541,0.95927,0.0043,0.82527,0.75741,0.85274,0.55942,1.18224,0.80345,0.00497,2.55513e-05,2.55513e-05,2.55513e-05
186,49015.6,1.25333,0.90655,0.00492,0.82309,0.75676,0.85349,0.55741,1.19297,0.79262,0.00509,2.36769e-05,2.36769e-05,2.36769e-05
187,49108.2,1.24663,0.86813,0.00477,0.82744,0.74588,0.84968,0.55533,1.19259,0.79762,0.00505,2.19212e-05,2.19212e-05,2.19212e-05
188,49198.9,1.23043,0.85884,0.00466,0.8179,0.75531,0.84845,0.55558,1.19415,0.79685,0.00506,2.02847e-05,2.02847e-05,2.02847e-05
189,49291.3,1.23708,0.85788,0.00477,0.81996,0.75796,0.84989,0.55635,1.19362,0.79405,0.00509,1.87678e-05,1.87678e-05,1.87678e-05
190,49384.1,1.23055,0.83695,0.00465,0.821,0.75676,0.84993,0.5563,1.19408,0.79347,0.00509,1.73709e-05,1.73709e-05,1.73709e-05
191,49476.6,1.22491,0.84717,0.00468,0.82067,0.75585,0.84963,0.55514,1.19597,0.79375,0.00511,1.60943e-05,1.60943e-05,1.60943e-05
192,49572.2,1.22535,0.84426,0.00461,0.82545,0.76036,0.84998,0.55633,1.19584,0.79128,0.00514,1.49383e-05,1.49383e-05,1.49383e-05
193,49665.1,1.22796,0.85195,0.00464,0.8227,0.75856,0.84916,0.55703,1.19872,0.78831,0.00511,1.39032e-05,1.39032e-05,1.39032e-05
194,49759.1,1.23153,0.84137,0.00462,0.82297,0.75916,0.84925,0.55681,1.19393,0.79432,0.0051,1.29893e-05,1.29893e-05,1.29893e-05
195,49867.2,1.22822,0.85275,0.0047,0.81851,0.75796,0.84898,0.55746,1.19518,0.7937,0.00506,1.21968e-05,1.21968e-05,1.21968e-05
196,49960.3,1.22603,0.82963,0.00462,0.8188,0.75796,0.85052,0.5584,1.19344,0.79214,0.00506,1.15259e-05,1.15259e-05,1.15259e-05
197,50052.4,1.22496,0.84067,0.00463,0.82302,0.75969,0.85068,0.55905,1.19281,0.79015,0.00506,1.09768e-05,1.09768e-05,1.09768e-05
198,50146.1,1.2263,0.83845,0.00465,0.8226,0.75916,0.85137,0.56034,1.19228,0.78712,0.00508,1.05495e-05,1.05495e-05,1.05495e-05
199,50250.4,1.22374,0.84213,0.00459,0.82612,0.75616,0.85142,0.56035,1.1923,0.78637,0.00509,1.02443e-05,1.02443e-05,1.02443e-05
200,50343.6,1.22635,0.85035,0.00467,0.82288,0.75736,0.85174,0.56105,1.19445,0.78405,0.0051,1.00611e-05,1.00611e-05,1.00611e-05
