epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,216.875,1.41104,1.13913,0.00613,0.66899,0.64228,0.68121,0.41403,1.36394,1.16766,0.00662,0.0001,0.0001,0.0001
2,298.461,1.37731,1.1062,0.00584,0.68595,0.63421,0.68153,0.41497,1.35878,1.16356,0.00661,9.97288e-05,9.97288e-05,9.97288e-05
3,378.865,1.37642,1.08872,0.00581,0.68547,0.63278,0.67707,0.41064,1.37778,1.15501,0.00663,9.89183e-05,9.89183e-05,9.89183e-05
4,458.809,1.38767,1.09106,0.00569,0.69118,0.61608,0.68005,0.4138,1.36394,1.14616,0.00664,9.75773e-05,9.75773e-05,9.75773e-05
5,538.606,1.3513,1.05469,0.00563,0.6941,0.62723,0.68005,0.41202,1.36615,1.1579,0.00671,9.57205e-05,9.57205e-05,9.57205e-05
6,618.654,1.36165,1.04452,0.0055,0.70323,0.62718,0.68099,0.41106,1.3711,1.14749,0.0067,9.33683e-05,9.33683e-05,9.33683e-05
7,699.432,1.35938,1.0764,0.00562,0.70756,0.62103,0.67964,0.41448,1.36172,1.14009,0.00659,9.05463e-05,9.05463e-05,9.05463e-05
8,779.516,1.36814,1.07382,0.00562,0.69655,0.62834,0.6769,0.41027,1.36588,1.16762,0.00657,8.72857e-05,8.72857e-05,8.72857e-05
